Country,Demonym,Sentiment,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,Happy,Angry,Surprise,Sad,Fear,F_Score,,,,,,,,,,
Luxembourg,Luxembourger,0.487244,0.002443573,9.51E-06,9.86E-05,0.00035331,0.00087223,0.000120041,7.23E-05,0.1185,0.0512,0.1265,0.239,0.4215,0.988116255,,,,,,,,,,
Macedonia,Macedonian,0.17853,0.00496124,9.70E-06,0.000131379,0.001006835,0.001193249,0.000355344,8.55E-05,0.139,0.0492,0.1422,0.2485,0.4055,0.974134263,,,,,,,,,,
Madagascar,Malagasy,-0.03544,0.02821457,2.28E-05,0.000210228,0.006453328,0.010564179,0.000907952,0.000358216,0.1013,0.0552,0.1577,0.2802,0.4361,0.97140254,,,,,,,,,,
Malawi,Malawian,0.060991,0.01528256,1.18E-05,0.000110973,0.00343066,0.00651555,0.000199558,0.000243526,0.1133,0.0598,0.147,0.2337,0.4519,0.975007739,,,,,,,,,,
Malaysia,Malaysian,0.05127,0.020264335,1.78E-05,0.009214123,0.003327817,0.005721473,0.00030397,0.001185249,0.1223,0.0615,0.1148,0.2394,0.4185,0.990764976,,,,,,,,,,
Maldives,Maldivan,0.114436,0.011817475,4.17E-05,0.000198149,0.003080807,0.003439785,0.000253038,0.000223935,0.1281,0.0562,0.1612,0.2262,0.4265,0.971475381,,,,,,,,,,
Mali,Malian,0.133188,0.024475167,6.25E-05,0.000231144,0.006907485,0.009264568,0.000547086,0.000385104,0.1314,0.053,0.1549,0.2231,0.3944,0.979890576,,,,,,,,,,
Malta,Maltese,0.301694,0.006870851,1.02E-05,0.000135021,0.001101496,0.001878505,0.00044254,0.000156084,0.1635,0.0418,0.1594,0.2402,0.4065,0.991114684,,,,,,,,,,
Marshall Islands,Marshallese,0.425942,0.027372693,3.33E-05,0.000342704,0.005745613,0.012371094,0.000629017,0.00077652,0.1285,0.0502,0.1642,0.2509,0.428,0.992246427,,,,,,,,,,
Mauritania,Mauritanian,-0.078615,0.01589095,3.39E-05,0.00020034,0.003056117,0.005527157,0.000634288,0.000172371,0.1243,0.0478,0.1608,0.2383,0.4592,0.978322282,,,,,,,,,,
Mauritius,Mauritian,0.01679,0.014175086,0.000133242,0.000220436,0.004850883,0.003917832,0.000212471,0.000245341,0.1324,0.0353,0.12,0.2424,0.4247,0.98861268,,,,,,,,,,
Mexico,Mexican,0.166773,0.034398211,8.53E-06,0.000126523,0.016211948,0.00782625,0.002311437,9.34E-05,0.1325,0.0443,0.1424,0.2568,0.4073,0.984916388,,,,,,,,,,
Moldova,Moldovan,0.147789,0.003216221,7.83E-06,0.000116218,0.000649089,0.000718312,0.000109196,0.000505467,0.1081,0.057,0.1215,0.2574,0.4116,0.988498817,,,,,,,,,,
Monaco,Monegasque or Monacan,0.404854,0.017436138,1.85E-05,0.00852271,0.001681118,0.005806972,0.001175042,0.000472628,0.1105,0.0594,0.2159,0.2016,0.3954,0.989904159,,,,,,,,,,
Mongolia,Mongolian,0.377715,0.015990541,1.90E-05,0.000409819,0.004207447,0.005716729,0.000186628,0.000603296,0.1493,0.058,0.1549,0.2124,0.4326,0.97577216,,,,,,,,,,
Montenegro,Montenegrin,0.206333,0.008595702,7.71E-06,7.83E-05,0.001279018,0.00379718,0.000188601,6.91E-05,0.152,0.0544,0.1152,0.2459,0.4212,0.976256037,,,,,,,,,,
Morocco,Moroccan,-0.119643,0.027023339,5.68E-05,0.000207586,0.008389014,0.011268436,0.000363858,7.97E-05,0.1217,0.0471,0.1374,0.2723,0.385,0.989018535,,,,,,,,,,
Mozambique,Mozambican,0.395412,0.02444579,6.38E-06,0.002532956,0.002376727,0.013560062,0.000205195,0.000150613,0.1774,0.0489,0.127,0.2378,0.4345,0.982655188,,,,,,,,,,
Myanmar,Burmese or Myanmarese,0.133806,0.018144526,2.16E-05,0.000221893,0.003939373,0.006141677,0.000636808,0.000454606,0.1051,0.0605,0.1537,0.2093,0.4517,0.989468752,,,,,,,,,,
Namibia,Namibian,0.323858,0.017974739,1.05E-05,0.00010639,0.002391428,0.00912531,0.00030803,0.000176211,0.1454,0.0557,0.1378,0.2263,0.4552,0.969628706,,,,,,,,,,
Nauru,Nauruan,0.360045,0.002488664,6.92E-06,7.82E-05,0.000437429,0.000782154,8.75E-05,7.88E-05,0.1411,0.0425,0.1493,0.2118,0.4321,0.986839119,,,,,,,,,,
Nepal,Nepalese,0.44998,0.013263954,1.11E-05,0.000170939,0.001587972,0.006697994,0.000166537,0.00017729,0.1345,0.0448,0.1712,0.2172,0.3633,0.997048983,,,,,,,,,,
Netherlands,"Netherlander, Dutchman/woman, Hollander, or Dutch (collective)",0.521777,0.010383279,2.23E-05,0.000363711,0.001201303,0.005508515,0.000228154,0.000364525,0.1023,0.1042,0.2092,0.2208,0.4645,0.969100481,,,,,,,,,,
New Zealand,New Zealander or Kiwi,0.349375,0.024195002,2.39E-05,0.008116874,0.001109401,0.014430292,0.000133598,0.001526698,0.1332,0.0468,0.1173,0.2387,0.453,0.983002359,,,,,,,,,,
Nicaragua,Nicaraguan,0.068413,0.009650703,7.14E-06,0.000193355,0.000880199,0.002251947,0.002121475,0.000736011,0.1284,0.0655,0.1333,0.265,0.4422,0.989646609,,,,,,,,,,
Niger,Nigerian,-0.125738,0.012691334,1.68E-05,0.000126729,0.003711297,0.002871125,0.000544148,0.000238048,0.102,0.0422,0.1543,0.2494,0.4613,0.988725324,,,,,,,,,,
Nigeria,Nigerien,-0.006536,0.038192585,2.11E-05,0.010064154,0.00349751,0.018397961,0.000307568,0.000430043,0.105,0.0397,0.1444,0.2395,0.397,0.958159049,,,,,,,,,,
North Korea,North Korean,0.066595,0.021233016,6.58E-06,0.001115411,0.003518923,0.01040478,0.000476772,6.79E-05,0.109,0.0513,0.1345,0.278,0.4578,0.982515745,,,,,,,,,,
Norway,Norwegian,0.285201,0.006625353,1.99E-05,0.000153389,0.003012612,0.000995111,0.00043137,0.000292329,0.1332,0.0514,0.1183,0.2289,0.3994,0.960803899,,,,,,,,,,
Oman,Omani,0.16409,0.016543807,1.34E-05,9.79E-05,0.004732204,0.005363389,0.000254097,9.40E-05,0.1387,0.0517,0.141,0.2594,0.4624,0.957572424,,,,,,,,,,
Pakistan,Pakistani,-0.034808,0.029421246,2.87E-05,0.000198129,0.012764138,0.006176052,0.000775959,0.003929501,0.114,0.0507,0.1321,0.2309,0.43,0.983918158,,,,,,,,,,
Palau,Palauan,0.369896,0.006519462,1.26E-05,0.000127381,0.001114376,0.002120832,0.000165505,8.44E-05,0.1325,0.0455,0.1663,0.2259,0.4396,0.97794454,,,,,,,,,,
Panama,Panamanian,0.216526,0.006669401,6.31E-06,0.000115455,0.001040355,0.00355132,8.19E-05,0.000145621,0.145,0.0496,0.1218,0.2341,0.4323,0.98291504,,,,,,,,,,
Papua New Guinea,Papua New Guinean,0.040207,0.006419379,1.35E-05,0.000697171,0.000697334,0.001590126,0.000259402,0.001092729,0.106,0.0383,0.1861,0.2368,0.4575,0.980444937,,,,,,,,,,
Paraguay,Paraguayan,0.064732,0.00479622,7.34E-06,0.000125205,0.000887254,0.001195609,0.000175285,0.000214765,0.1166,0.0375,0.1415,0.2368,0.4415,0.989941374,,,,,,,,,,
Peru,Peruvian,0.377124,0.014367941,9.56E-06,0.003668126,0.001436527,0.004271894,0.000161126,0.003507113,0.1159,0.0506,0.1672,0.2254,0.3635,0.992848504,,,,,,,,,,
Philippines,Filipino,0.177743,0.01297251,1.04E-05,0.001891157,0.002858373,0.004007132,0.000209199,0.000269171,0.1557,0.0464,0.1398,0.2467,0.4009,0.996227649,,,,,,,,,,
